Task,Delegation,Done,Due Date,Owner,Recurring?,Related to Projects Database
改手動蒐集稼動率的 Plant 顯示,,Yes,06/06/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
閱讀：專案管理三角形：這是什麼，如何使用？ [2025] • Asana,,Yes,06/06/2025,Keith LI,No,
嘉印印刷 WebAPI 製作 - 確認格式,,Yes,06/09/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
跟 APA 問 FAS 藍圖進度，有要更改嗎？,,Yes,06/09/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
"發信通知 FAS 更新的 Feature ",,Yes,06/10/2025 9:00 (GMT+8),Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
看嘉印IoT 接口文檔,,Yes,06/07/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
晚餐舅媽吃飯,,Yes,06/28/2025,Keith LI,No,
CYY & CYW 祥益電腦車加裝 IoT 詢問,,Yes,06/12/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
Put this weekly’s OEE Lesson on calender,,Yes,06/09/2025,Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
規劃 OEE Education 到 End Date 課程,,No,,,No,
姐&媽去奧地利 （開車）,,Yes,06/16/2025,Keith LI,No,
[BUG] 批量移轉的顯示,,Yes,06/09/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
資產驗收功能 - 評鑑單,,Yes,06/10/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
調撥單 Form No. 欄位新增及顯示,,Yes,06/13/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
簡單用紙筆畫出 FAS Blueprint,,Yes,06/10/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
讀：ODM是什麼？解析ODM、OEM差異及代工流程，幫助做出合作決策,,Yes,06/10/2025,Keith LI,No,
[Weekly] 追蹤 嘉印,,No,11/06/2025,Keith LI,Yes,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
"更近 IDM2 EMMA 切割機無法顯示資產編號狀況 ",,Yes,06/10/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
IDM2 IoT 稼動率追蹤,,Yes,06/10/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
[ECL] Essential,,Yes,06/10/2025 20:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
[ECL] Life Situation,,Yes,06/11/2025 19:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
"[ECL] Essential ",,Yes,06/17/2025 20:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
[ECL] Essential,,Yes,06/15/2025 20:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
Change GBOS IoT Forwarded Project for  Cursor IDE,,Yes,06/14/2025,Keith LI,No,
https://learn.microsoft.com/zh-tw/azure/ai-foundry/concepts/ai-resources,,Yes,06/15/2025,Keith LI,No,
Azure 雲端 RI 報價,,Yes,06/10/2025,Keith LI,No,
[BUG] 報價單表顯示錯誤 (繁體中文),,Yes,06/13/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
看 Jeff Prompt 儲存的影片,,Yes,06/13/2025,Keith LI,No,Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21)
測報價單搜尋頁面多檔案一次下載狀況,,Yes,06/13/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
IoT 看板會議,,Yes,06/10/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
[Weekly] 湖南廠區 看板 Follow Up,"[DMS] 劉憲春, [DMS] 念慈 (Daisy)",No,11/10/2025,Keith LI,Yes,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
[BUG] 申請單同步問題,,Yes,06/11/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
整理 Blockchain 影片筆記,,Yes,06/14/2025,Keith LI,No,
https://www.notion.so/DMS-Confluent-20f406f9700780ae963efe363fb8fac2?pvs=21,,Yes,06/15/2025,Keith LI,No,
https://www.notion.so/Modbus-Modbus-RTU-7a320488f4c74218b70ab285d2bcc8be?pvs=21,,Yes,06/14/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
https://www.notion.so/a6de66f330774c4d9471a244776db8ed?pvs=21,,Yes,06/17/2025,Keith LI,No,
VDM EMMA 連接驗收,,Yes,06/13/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
處理申請流程部門權限問題,,Yes,06/30/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
發信通知新增資產評鑑表功能,,Yes,06/13/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
"自動化設備新增設備老舊無法連線的提示選項 ⇒ Next 目前自動化確認歸類 ",,Yes,06/16/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
改 View 顯示 Factory 變回 ShortName,,Yes,06/18/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
改 GBOS API 名稱,,Yes,06/27/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
觀察 GBOS 儲存在 Azure DC 情況,,Yes,06/13/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
"觀察申請單有無自動更新 ",,Yes,06/13/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
https://learn.microsoft.com/zh-tw/training/modules/generate-images-azure-openai/Partial 3,,Yes,06/12/2025,Keith LI,No,Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21)
統一稼動率格式 - 祥益 (委派：念慈),,Yes,06/16/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
"IDM2 EMMA 資產編號名稱更新 ",,Yes,06/16/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
報價單頁面新增廠區欄位顯示&搜尋 - 看內文,,Yes,06/27/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
"嘉印 - 開發 TEST API ",,Yes,06/16/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
處理 IoT BI 報表 (執行長),,Yes,06/13/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
[ECL] Life Situation,,Yes,06/18/2025 19:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
[ECL] Essential,,Yes,06/23/2025 20:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
FAS Roadmap - 開發時間規劃,,Yes,07/01/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
嘉印印刷 - 將 API 接收字串寫入 Log.txt,,Yes,06/18/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
"嘉印印刷 - 添加接收資料 API ",,Yes,07/11/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
https://learn.microsoft.com/zh-tw/training/paths/extract-data-from-forms-document-intelligence/?ns-enrollment-type=Collection&ns-enrollment-id=g7dnbr1m5gw5r2 Partial 3,,Yes,06/15/2025,Keith LI,No,Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21)
https://learn.microsoft.com/zh-tw/training/paths/extract-data-from-forms-document-intelligence/?ns-enrollment-type=Collection&ns-enrollment-id=g7dnbr1m5gw5r2 Partial 4,,Yes,06/15/2025,Keith LI,No,Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21)
確認 GBOS 儲存在 Azure DC Log,,Yes,06/17/2025,Keith LI,No,
當模特兒剪頭髮 - 老厝理髮廳 (FREE),,Yes,06/26/2025 19:00 (GMT+8),Keith LI,No,
問匹克球場地怎麼借,,Yes,06/17/2025,Keith LI,No,
[BUG] DbContext 多行序錯誤,,Yes,06/26/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
稼動率連接至周報 - 如何分各廠 IoT 及種類,,Yes,07/03/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
看求職履歷 - 早上,,Yes,06/17/2025,Keith LI,No,
VDM 接祥益電腦車,,Yes,07/01/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
IDM1 祥益電腦車上稼動率 - 跟若萬確認,,Yes,07/08/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
讀：https://www.notion.so/a44ef1546dd24f0bb5b497e7193cd769?pvs=21,,Yes,06/20/2025,Keith LI,No,
"整理資產分類 - 切割機 ",,Yes,06/23/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
[DMS] Azure 5月雲端費用,,Yes,06/20/2025,Keith LI,No,
看和椿 AGV 無人搬運車 現場廠商 下午,,Yes,06/24/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
調整接收 GBOS IoT 的 API 可 Insert 到 FineOps DC,,Yes,06/19/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
IDM2 EMMA 機台資料 廠商現場改資產編號,,Yes,06/19/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
查看 CEY GBOS 數據 - 下午,,Yes,06/18/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
資產選項在自動化機台才有稼動率選項 - 看內文,,Yes,06/18/2025,Keith LI,No,
Andrew Classes - 幫大家開 GitLab 帳號,,Yes,06/25/2025,Keith LI,No,
請盧暢做一個可以填寫自估價值得欄位 報表 供惠珍姐發給大家填寫,,Yes,06/18/2025,Keith LI,No,
預告 7 月要加執行長 EMAIL 到每週二 閒置報表,,Yes,06/18/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
跟盧暢說七月要加執行長 MAIL 到週二 FineBi 閒置報表,,Yes,06/18/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
跟盧暢確認週二閒置報表有加上 Louis,,Yes,06/30/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
評鑑表在自動化機台新增 IoT 評鑑 - 看內文,,Yes,06/19/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
嘉印印刷 - 詢問測試狀況,,Yes,06/19/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
發信通知 FAS 更新 - 早上,,Yes,06/27/2025,Keith LI,No,
FAS 清除 IDM2 EMMA * 30  & IDM1 GBOS * 4 重複,,Yes,06/19/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
[Weekly] FineBi 報表 Review - 目前報表項目,,Yes,08/25/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
[DMS] 問家儀台灣生產設備機台的折舊方式,,Yes,06/20/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
詢問越南會計集團內帳資產折舊方式,,Yes,06/19/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
Change GBOS IoT Forwarded Project for  Cursor IDE - 看內文,,Yes,06/29/2025,Keith LI,No,
GBOS 數據確認 & 改 GBOS API 名稱 - 看內文,,Yes,07/18/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
FineBI 比賽報名,,Yes,06/22/2025,Keith LI,No,
將OEE英文課放進 Tasks 當中,,Yes,06/23/2025,Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
AGV 初步了解以及研究 - 和椿,,Yes,06/23/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
EMMA 吳工到 IDM2,,Yes,07/01/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
FAS 新稱 Tags 類別欄位,,Yes,06/23/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
[ECL] Essential,,Yes,07/07/2025 20:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
[ECL] Life Situation,,Yes,06/25/2025 19:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
[ECL] Life Situation,,Yes,06/27/2025 19:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
"FineBI Idle Assets dashboard ",[DMS] 盧暢 (LC),Yes,06/25/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
https://learn.microsoft.com/zh-tw/training/paths/develop-language-solutions-azure-ai/?ns-enrollment-type=Collection&ns-enrollment-id=g7dnbr1m5gw5r2 Partial 8,,Yes,07/20/2025,Keith LI,No,Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21)
https://learn.microsoft.com/zh-tw/training/paths/develop-language-solutions-azure-ai/?ns-enrollment-type=Collection&ns-enrollment-id=g7dnbr1m5gw5r2 Partial 6,,Yes,07/05/2025,Keith LI,No,Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21)
去談接自動劃線機 IoT GBOS - GH1280,,Yes,09/01/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
折舊功能&閒置報表 - 通知惠珍姐要用我的閒置報表,,Yes,06/23/2025,Keith LI,No,
折舊功能 - 當月攤提 - 攤提月數從驗收當月開始計算,,Yes,06/26/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
折舊功能 - 改殘值顯示名稱變為折舊帳面金額,,Yes,06/26/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
折舊功能 - 儲存月的閒置資產 Detail Snapshot 明細,,Yes,06/25/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
折舊功能 - 折舊方式提示,,Yes,06/25/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
"惠珍姐閒置月報 - BI 閒置報表拉購買日期欄位進去 ",,Yes,06/25/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
CSW6 小珍 油泵退貨 - 看內文,,Yes,06/25/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
[BUG] Part Table UnitOfMeasurement 沒有一起儲存,,Yes,07/03/2025,Keith LI,No,
改 Asset Acceptance Form 經辦人,,Yes,07/04/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
[BUG] Asset Evaluation Form 時間顯示,,Yes,06/27/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
"處理 Azure RI ",,Yes,06/26/2025,Keith LI,No,
大眾 AI 會議,,Yes,07/02/2025 14:00 (GMT+8),Keith LI,No,
新增工廠別 Columne 至 PartPage - 內文,,Yes,07/10/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
中國區稼動率接收統整 - GBOS Forwarder,,Yes,07/08/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
月會影片上傳,,Yes,06/27/2025,Keith LI,No,
"將 Asset Export 頁面 Asset Category 選項 Root & Sub Tree 皆可一起搜尋 ",,Yes,09/22/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
用 Claude Code reflector api and forward project,,Yes,06/29/2025,Keith LI,No,
Azure RI 報價單簽名回寄,,Yes,06/30/2025,Keith LI,No,
[ECL] Essential,,Yes,07/03/2025 20:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
[ECL] Essential,,Yes,07/06/2025 20:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
[ECL] Life Situation,,Yes,07/09/2025 19:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
[ECL] Life Situation,,Yes,07/04/2025 19:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
問緯謙 Azure RI USD Quotation,,Yes,07/01/2025,Keith LI,No,
[BUG] PartPickupRecord UnitOfMeasurement Null,,Yes,07/09/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
更改稼動率轉發格式,,Yes,07/03/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
FAS 報告初版,,Yes,07/02/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
FAS 報告 - Roadmap 重整,,Yes,07/01/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
FAS 報告 - 重點及內容整理,,Yes,06/30/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
https://learn.microsoft.com/zh-tw/training/paths/implement-knowledge-mining-azure-cognitive-search/?ns-enrollment-type=Collection&ns-enrollment-id=g7dnbr1m5gw5r2 Partial 7,,Yes,07/03/2025,Keith LI,No,Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21)
https://learn.microsoft.com/zh-tw/training/paths/implement-knowledge-mining-azure-cognitive-search/?ns-enrollment-type=Collection&ns-enrollment-id=g7dnbr1m5gw5r2 Partial 8,,Yes,07/04/2025,Keith LI,No,Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21)
"資產 Opex、Capex 報表 ",,Yes,07/04/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
FineBI 月閒置 - Convert AssetCode column to string type (EXCEL),[DMS] 盧暢 (LC),Yes,07/07/2025,Keith LI,No,
FAS 經濟壽命分析 - CAPEX 報表 - 資產折舊 View 表,,Yes,07/08/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
FAS 經濟壽命分析 - CAPEX 報表 - 報表實作,[DMS] 盧暢 (LC),Yes,07/08/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
FAS 經濟壽命分析 - OPEX 報表 - 零件領用記錄 View 表,,Yes,07/08/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
FAS 經濟壽命分析 - OPEX 報表 - 將 CAPEX 報表結合領用記錄,[DMS] 盧暢 (LC),Yes,07/08/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
FAS 經濟壽命分析 - 設備經濟壽命分析BI報表 (CAPEX&OPEX),[DMS] 盧暢 (LC),Yes,07/10/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
FineBi 報表 Review - 目前報表項目,,Yes,07/08/2025,Keith LI,No,"[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21), [DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)"
[ECL] Essential,,Yes,07/08/2025 20:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
[ECL] Essential,,Yes,07/10/2025 20:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
[ECL] Essential,,Yes,07/13/2025 20:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
[ECL] Life Situation,,Yes,07/23/2025 19:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
[Bi Competition] 競賽題目公布,,Yes,08/01/2025,Keith LI,No,FineBi 台灣地震分析 (analysis competition)  (https://www.notion.so/FineBi-analysis-competition-228406f9700780098232de446c11fcdd?pvs=21)
[BI Competition] 作品提交,,Yes,08/04/2025 → 08/25/2025,Keith LI,No,FineBi 台灣地震分析 (analysis competition)  (https://www.notion.so/FineBi-analysis-competition-228406f9700780098232de446c11fcdd?pvs=21)
[Bi Competition] 評選階段,,Yes,08/26/2025 → 08/29/2025,Keith LI,No,FineBi 台灣地震分析 (analysis competition)  (https://www.notion.so/FineBi-analysis-competition-228406f9700780098232de446c11fcdd?pvs=21)
